@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Private room',207,2.21,1,320,19,40,8.988281,0.050911,6.632831,110
'Entire home/apt',459,2.86,1,320,51,52,8.900978,0.582683,3.196613,91
'Entire home/apt',56,0.55,9,137,23,57,10.64573,0.102692,2.399416,157
'Private room',13,0.15,1,165,6,37,11.031393,0.191198,3.316158,329
'Entire home/apt',40,0.27,3,306,2,179,10.98916,0.194353,3.606875,86
'Entire home/apt',49,0.33,3,294,2,158,10.946977,0.158993,3.531615,94
'Entire home/apt',157,1.09,1,326,47,38,10.157297,0.558597,4.02817,203
'Private room',250,1.69,2,0,0,948,13.062153,0.388403,6.836699,110
'Entire home/apt',102,0.74,1,133,71,42,8.383796,0.271246,2.312155,89
'Private room',93,0.68,2,328,14,58,8.583729,0.681098,2.977842,77
'Private room',117,0.84,2,304,27,60,8.583729,0.681098,2.977842,66
'Entire home/apt',3,1.67,1,126,3,52,13.08671,0.365606,7.26416,113
'Entire home/apt',50,0.59,22,348,8,51,11.536635,0.423852,5.309702,266
'Entire home/apt',584,4.36,1,69,35,96,10.252845,0.30417,5.295701,236
'Entire home/apt',290,2.16,3,0,17,58,10.404188,0.345826,13.145685,100
'Entire home/apt',44,0.33,3,178,2,262,10.323874,0.259653,13.065672,50
'Entire home/apt',2,0.02,3,311,1,67,10.368018,0.302577,13.097619,100
'Private room',20,0.16,1,344,0,1101,10.109361,0.255847,4.948199,88
'Entire home/apt',39,0.3,1,358,0,1638,8.731678,0.23607,1.370251,170
'Entire home/apt',28,0.21,2,256,5,80,12.301417,0.38876,9.387369,48
'Entire home/apt',67,0.53,1,362,1,367,9.023899,0.109649,0.8393,195
'Private room',66,0.51,1,164,3,74,13.543035,0.106365,7.052571,32
'Entire home/apt',100,0.8,1,353,19,70,10.021808,0.356326,4.149464,479
'Entire home/apt',50,0.38,2,0,0,946,6.738558,0.599948,3.565448,130
'Entire home/apt',39,0.41,2,0,0,948,6.802455,0.536489,3.536184,146
'Private room',261,2.05,1,322,22,87,8.7462,0.225829,5.221623,94
'Entire home/apt',9,0.07,1,319,1,133,9.034002,0.040242,5.694062,449
'Entire home/apt',645,5.03,1,294,63,38,11.950632,0.110054,4.556267,248
