@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {NA}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
NA,41.7879,-87.5878,'Private room',207,2.21,1,320,19,40,8.988281,0.050911,6.632831,110
NA,41.90166,-87.68021,'Entire home/apt',459,2.86,1,320,51,52,8.900978,0.582683,3.196613,91
NA,41.91196,-87.63981,'Entire home/apt',56,0.55,9,137,23,57,10.64573,0.102692,2.399416,157
NA,41.92357,-87.64947,'Private room',13,0.15,1,165,6,37,11.031393,0.191198,3.316158,329
NA,41.925961,-87.656364,'Entire home/apt',40,0.27,3,306,2,179,10.98916,0.194353,3.606875,86
NA,41.92499,-87.65573,'Entire home/apt',49,0.33,3,294,2,158,10.946977,0.158993,3.531615,94
NA,41.921372,-87.679323,'Entire home/apt',157,1.09,1,326,47,38,10.157297,0.558597,4.02817,203
NA,41.97303,-87.66567,'Private room',250,1.69,2,0,0,948,13.062153,0.388403,6.836699,110
NA,41.84576,-87.61871,'Entire home/apt',102,0.74,1,133,71,42,8.383796,0.271246,2.312155,89
NA,41.89615,-87.67934,'Private room',93,0.68,2,328,14,58,8.583729,0.681098,2.977842,77
NA,41.89615,-87.67934,'Private room',117,0.84,2,304,27,60,8.583729,0.681098,2.977842,66
NA,41.9796,-87.66512,'Entire home/apt',3,1.67,1,126,3,52,13.08671,0.365606,7.26416,113
NA,41.94342,-87.68121,'Entire home/apt',50,0.59,22,348,8,51,11.536635,0.423852,5.309702,266
