neighbourhood_group,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_airport_in_miles,dist_from_subway_in_miles,dist_from_city_center,price
NA,41.7879,-87.5878,Private room,207,2.21,1,320,19,40,8.988280948,0.050910759,6.632831423,110
NA,41.90166,-87.68021,Entire home/apt,459,2.86,1,320,51,52,8.900978423,0.582683025,3.196612911,91
NA,41.91196,-87.63981,Entire home/apt,56,0.55,9,137,23,57,10.64572989,0.102692395,2.399415997,157
NA,41.92357,-87.64947,Private room,13,0.15,1,165,6,37,11.03139305,0.191197972,3.316158069,329
NA,41.925961,-87.656364,Entire home/apt,40,0.27,3,306,2,179,10.98916047,0.194353052,3.606875257,86
NA,41.92499,-87.65573,Entire home/apt,49,0.33,3,294,2,158,10.94697692,0.158993151,3.5316151,94
NA,41.92137191,-87.679323,Entire home/apt,157,1.09,1,326,47,38,10.15729749,0.558596685,4.028169613,203
NA,41.97303,-87.66567,Private room,250,1.69,2,0,0,948,13.06215333,0.38840295,6.836699285,110
NA,41.84576,-87.61871,Entire home/apt,102,0.74,1,133,71,42,8.383796186,0.271246408,2.312155041,89
NA,41.89615,-87.67934,Private room,93,0.68,2,328,14,58,8.583728977,0.681097558,2.97784203,77
NA,41.89615,-87.67934,Private room,117,0.84,2,304,27,60,8.583728977,0.681097558,2.97784203,66
NA,41.9796,-87.66512,Entire home/apt,3,1.67,1,126,3,52,13.0867099,0.36560636,7.264159725,113
NA,41.94342,-87.68121,Entire home/apt,50,0.59,22,348,8,51,11.53663507,0.423852295,5.30970249,266
NA,41.92918,-87.70219,Entire home/apt,584,4.36,1,69,35,96,10.25284531,0.304169531,5.295701091,236
NA,41.68843,-87.60712,Entire home/apt,290,2.16,3,0,17,58,10.40418809,0.345825573,13.14568543,100
NA,41.68954,-87.60786,Entire home/apt,44,0.33,3,178,2,262,10.32387403,0.259653458,13.06567163,50
NA,41.68912,-87.60725,Entire home/apt,2,0.02,3,311,1,67,10.36801774,0.30257693,13.09761876,100
NA,41.92589,-87.69737,Private room,20,0.16,1,344,0,1101,10.10936124,0.255846638,4.948198563,88
NA,41.85923,-87.62198,Entire home/apt,39,0.3,1,358,0,1638,8.731677842,0.236069526,1.370250784,170
NA,42.0076,-87.6825,Entire home/apt,28,0.21,2,256,5,80,12.30141655,0.388760287,9.387369499,48
NA,41.88413,-87.64315,Entire home/apt,67,0.53,1,362,1,367,9.023898538,0.109648994,0.839299728,195
NA,41.97806,-87.65676,Private room,66,0.51,1,164,3,74,13.54303526,0.106364582,7.052570505,32
NA,41.92063,-87.68353,Entire home/apt,100,0.8,1,353,19,70,10.02180811,0.356326382,4.149463862,479
NA,41.82712,-87.64046,Entire home/apt,50,0.38,2,0,0,946,6.738558201,0.599947522,3.565447569,130
NA,41.82741,-87.63934,Entire home/apt,39,0.41,2,0,0,948,6.80245471,0.536489388,3.536183798,146
NA,41.80774,-87.59459,Private room,261,2.05,1,322,22,87,8.746199563,0.225828595,5.221623018,94
NA,41.80241,-87.58825,Entire home/apt,9,0.07,1,319,1,133,9.034002025,0.040242487,5.694061581,449
NA,41.94107,-87.65492,Entire home/apt,645,5.03,1,294,63,38,11.95063217,0.110054009,4.556267287,248
NA,41.89629,-87.65704,Entire home/apt,260,2.17,2,344,33,44,9.22086085,0.077585195,1.946117751,285
NA,41.88947,-87.66933,Entire home/apt,202,1.63,1,55,8,60,8.458474969,0.294440414,2.296499563,194
NA,41.86765,-87.62271,Private room,38,0.3,1,0,0,1581,9.049031555,0.126821478,0.818394985,119
NA,41.92518,-87.69549,Entire home/apt,644,5.26,1,0,0,493,10.09372306,0.226409216,4.83912312,48
NA,41.96978,-87.67389,Entire home/apt,17,0.14,1,250,3,87,12.6223657,0.184447405,6.768487611,230
NA,41.96678,-87.6973,Entire home/apt,351,2.83,1,175,37,37,11.35881776,0.187655582,7.143115022,101
NA,41.91032,-87.68746185,Entire home/apt,55,0.44,1,205,5,38,9.282092664,0.393176176,3.85416077,236
NA,41.93142,-87.69989,Entire home/apt,273,2.19,1,335,9,58,10.43566152,0.443446136,5.308568584,182
NA,41.82295,-87.6156,Entire home/apt,255,2.09,3,360,19,105,7.892600821,0.324044387,3.883530575,91
NA,41.96528,-87.6831,Private room,55,0.45,2,161,8,171,12.13966125,0.21723594,6.682396681,58
NA,41.88986,-87.66039,Private room,136,1.1,6,288,6,71,8.751976213,0.415140854,1.856892479,69
