@relation 'chicago_listings - full-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute host_is_superhost {t,f}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {t,f}
@attribute host_identity_verified {t,f}
@attribute neighbourhood_cleansed {'Hyde Park','West Town','Lincoln Park','Logan Square',Uptown,'Near South Side',Edgewater,'North Center',Pullman,'West Ridge','Near West Side',Bridgeport,Kenwood,'Lake View',Loop,'Lincoln Square','Grand Boulevard','Forest Glen','Near North Side','Lower West Side','East Garfield Park','Rogers Park','North Lawndale',Beverly,Chatham,Woodlawn,Avondale,'Humboldt Park','Portage Park','Washington Park','South Lawndale','South Shore','Morgan Park',Dunning,'West Lawn','Irving Park','Armour Square','Albany Park','South Deering','West Garfield Park',Hermosa,'Mckinley Park',Douglas,Hegewisch,'West Elsdon',Ashburn,'Greater Grand Crossing','Norwood Park','Garfield Ridge',Austin,'North Park','Belmont Cragin',Oakland,'West Pullman','Archer Heights','Jefferson Park','Edison Park','Brighton Park',Englewood,'Chicago Lawn','South Chicago','Mount Greenwood',Montclare,'West Englewood',Roseland,'Calumet Heights','Fuller Park',Ohare,'Auburn Gresham','New City','Avalon Park',Burnside,Clearing,'Gage Park','Washington Heights','East Side',Riverdale}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {t,f}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {t,f}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
t,1,1,t,t,'Hyde Park',41.7879,-87.5878,'Private room',1,1,1,3,89,t,13,25,50,320,207,19,2,4.99,4.98,4.99,4.99,4.99,4.96,4.94,t,1,0,1,0,2.21,0.050911,8.988281,6.632831,110
t,2,2,t,t,'West Town',41.90166,-87.68021,'Entire home/apt',2,1,1,2,60,t,11,22,52,320,459,51,2,4.68,4.84,4.56,4.9,4.87,4.88,4.74,f,1,1,0,0,2.86,0.582683,8.900978,3.196613,91
t,9,82,t,t,'Lincoln Park',41.91196,-87.63981,'Entire home/apt',4,2,2,4,180,t,4,23,47,137,56,23,2,4.63,4.73,4.8,4.79,4.77,4.98,4.64,t,9,9,0,0,0.55,0.102692,10.64573,2.399416,157
f,1,1,t,t,'Lincoln Park',41.92357,-87.64947,'Private room',3,1,1,2,7,t,21,45,75,165,13,6,2,5,5,5,5,5,5,4.85,f,1,0,1,0,0.15,0.191198,11.031393,3.316158,329
f,8,12,t,t,'Lincoln Park',41.925961,-87.656364,'Entire home/apt',3,1,1,32,395,t,0,1,31,306,40,2,0,4.28,4.04,3.93,4.14,3.96,4.89,4.18,f,3,3,0,0,0.27,0.194353,10.98916,3.606875,86
f,8,12,t,t,'Lincoln Park',41.92499,-87.65573,'Entire home/apt',6,2,3,32,300,t,24,24,26,294,49,2,0,4.32,4.57,4.29,4.17,4.11,4.91,4.34,t,3,3,0,0,0.33,0.158993,10.946977,3.531615,94
t,1,7,t,t,'Logan Square',41.921372,-87.679323,'Entire home/apt',6,3,3,2,10,t,13,25,51,326,157,47,3,4.75,4.82,4.71,4.92,4.84,4.9,4.67,f,1,1,0,0,1.09,0.558597,10.157297,4.02817,203
f,2,2,t,t,Uptown,41.97303,-87.66567,'Private room',2,1,1,3,1125,t,0,0,0,0,250,0,0,4.99,4.99,5,4.99,4.98,4.92,4.98,t,2,1,1,0,1.69,0.388403,13.062153,6.836699,110
f,1,1,t,f,'Near South Side',41.84576,-87.61871,'Entire home/apt',4,1,2,1,180,t,6,13,34,133,102,71,8,4.76,4.75,4.76,4.82,4.87,4.74,4.67,f,1,1,0,0,0.74,0.271246,8.383796,2.312155,89
t,2,3,t,f,'West Town',41.89615,-87.67934,'Private room',2,1,1,2,90,t,8,23,53,328,93,14,1,4.86,4.91,4.71,4.95,4.92,4.8,4.78,f,2,0,2,0,0.68,0.681098,8.583729,2.977842,77
