@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Historic Anacostia',38.86339,-76.98889,'Private room',306,81,5,1,0.56,543,0.344814,2.701526,3.951265,67
'Cathedral Heights, McLean Gardens, Glover Park',38.91794,-77.07094,'Entire home/apt',180,37,4,1,0.56,113,1.098645,4.872648,1.950389,298
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91736,-77.01248,'Entire home/apt',73,25,11,1,0.56,105,0.567013,4.697095,1.471926,399
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92767,-77.02397,'Private room',360,24,2,10,0.56,38,0.455135,5.26484,1.569898,49
'River Terrace, Benning, Greenway, Dupont Park',38.8913,-76.95904,'Private room',0,23,0,1,0.56,46,0.849319,4.969408,4.269929,50
'Fairfax Village, Naylor Gardens, Hillcrest, Summit Park',38.86371,-76.96904,'Entire home/apt',118,20,6,6,0.56,205,1.091139,3.725958,4.684042,199
'Near Southeast, Navy Yard',38.88023,-77.00871,'Entire home/apt',277,1,1,157,0.56,68,0.321695,2.475402,2.386484,115
'Dupont Circle, Connecticut Avenue/K Street',38.91536,-77.03728,'Private room',67,14,9,1,0.56,478,0.513245,4.364996,0.5634,86
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.95492,-76.99046,'Entire home/apt',331,7,6,2,0.56,49,0.657457,7.523356,4.110941,80
'Dupont Circle, Connecticut Avenue/K Street',38.91411,-77.03827,'Entire home/apt',294,9,5,156,0.56,80,0.413513,4.278798,0.482287,150
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92849,-77.02804,'Private room',179,1,1,18,0.56,89,0.243358,5.295701,1.542237,85
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.97011,-77.01006,'Entire home/apt',312,2,2,1,0.56,108,0.595995,8.273387,4.567934,62
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.94472,-77.12017,'Entire home/apt',108,41,1,1,0.56,2244,2.124563,7.74263,5.116601,195
'Takoma, Brightwood, Manor Park',38.98805,-76.99991,'Entire home/apt',136,53,3,1,0.56,80,1.272383,9.591953,5.913102,59
'Friendship Heights, American University Park, Tenleytown',38.96333,-77.0947,'Entire home/apt',163,1,1,1,0.56,2210,0.578398,8.248093,4.938048,120
'Takoma, Brightwood, Manor Park',38.97866,-77.01563,'Entire home/apt',290,58,11,1,0.56,117,0.22313,8.81061,5.057966,125
'Brightwood Park, Crestwood, Petworth',38.93719,-77.02335,'Private room',46,14,0,46,0.12,135,0.018421,5.920245,2.190384,39
'Colonial Village, Shepherd Park, North Portal Estates',38.98853,-77.04441,'Private room',365,6,1,4,0.12,35,0.802405,9.420391,5.625868,90
