@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Private room',306,81,5,1,0.56,543,0.344814,2.701526,3.951265,67
'Entire home/apt',180,37,4,1,0.56,113,1.098645,4.872648,1.950389,298
'Entire home/apt',73,25,11,1,0.56,105,0.567013,4.697095,1.471926,399
'Private room',360,24,2,10,0.56,38,0.455135,5.26484,1.569898,49
'Private room',0,23,0,1,0.56,46,0.849319,4.969408,4.269929,50
'Entire home/apt',118,20,6,6,0.56,205,1.091139,3.725958,4.684042,199
'Entire home/apt',277,1,1,157,0.56,68,0.321695,2.475402,2.386484,115
'Private room',67,14,9,1,0.56,478,0.513245,4.364996,0.5634,86
'Entire home/apt',331,7,6,2,0.56,49,0.657457,7.523356,4.110941,80
'Entire home/apt',294,9,5,156,0.56,80,0.413513,4.278798,0.482287,150
'Private room',179,1,1,18,0.56,89,0.243358,5.295701,1.542237,85
'Entire home/apt',312,2,2,1,0.56,108,0.595995,8.273387,4.567934,62
'Entire home/apt',108,41,1,1,0.56,2244,2.124563,7.74263,5.116601,195
'Entire home/apt',136,53,3,1,0.56,80,1.272383,9.591953,5.913102,59
'Entire home/apt',163,1,1,1,0.56,2210,0.578398,8.248093,4.938048,120
'Entire home/apt',290,58,11,1,0.56,117,0.22313,8.81061,5.057966,125
'Private room',46,14,0,46,0.12,135,0.018421,5.920245,2.190384,39
'Private room',365,6,1,4,0.12,35,0.802405,9.420391,5.625868,90
'Entire home/apt',43,13,0,1,0.12,2218,0.605613,5.57406,1.824961,182
'Private room',359,14,4,4,0.12,51,1.188957,4.680692,1.868253,139
'Private room',20,6,0,2,0.12,67,0.240284,5.07637,1.317515,37
'Entire home/apt',0,10,0,2,0.12,67,0.721598,3.98578,1.535287,90
'Entire home/apt',0,9,0,1,0.12,958,0.035794,5.780752,2.193795,85
'Entire home/apt',365,9,0,19,0.12,95,0.425976,3.276305,2.205689,265
'Private room',0,9,0,1,0.12,47,0.858456,4.378064,2.618735,40
'Entire home/apt',3,6,0,17,0.12,114,0.402478,3.8465,0.398499,298
'Entire home/apt',72,9,3,1,0.12,232,0.308709,3.820336,1.86002,199
'Entire home/apt',62,8,7,1,0.12,65,0.115888,3.337503,0.73596,300
'Entire home/apt',113,6,3,2,0.12,120,0.503305,4.559786,1.398731,201
'Private room',0,5,1,2,0.12,1087,0.213449,3.847831,0.500137,157
'Entire home/apt',0,7,0,1,0.12,72,0.644734,4.928559,1.49728,99
'Entire home/apt',0,7,0,1,0.12,3413,0.744861,5.253557,2.887979,32
'Entire home/apt',170,2,1,1,0.12,81,0.65187,3.701967,2.451117,156
