neighbourhood_group,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
NA,"Brightwood Park, Crestwood, Petworth",38.93719,-77.02335,Private room,14,0.12,46,46,0,543,0.018480956,5.923237133,2.197587838,39
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89898,-77.01629,Entire home/apt,69,0.59,1,90,22,113,0.199773733,3.439412568,1.260161397,250
NA,Historic Anacostia,38.86339,-76.98889,Private room,81,0.56,1,306,5,105,0.355151611,2.776391025,4.001164681,67
NA,"Dupont Circle, Connecticut Avenue/K Street",38.907833,-77.04567311,Private room,464,3.99,4,134,55,38,0.173616585,3.870157476,0.480998951,113
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91785,-77.01498,Private room,18,0.26,46,250,3,46,0.483798881,4.703250389,1.404425633,35
NA,"Douglas, Shipley Terrace",38.8491,-76.97982,Private room,22,0.24,4,299,3,205,0.530569179,3.166856667,5.077821906,65
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Private room,111,0.91,1,197,5,68,0.346038371,4.876364177,1.186018838,90
NA,"Capitol Hill, Lincoln Park",38.88442,-77.00491,Entire home/apt,18,0.18,1,0,0,478,0.046618656,2.859714348,2.349769842,120
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,161,1.14,1,289,5,49,0.39862098,5.710572385,1.93140136,99
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95345,-76.99504,Entire home/apt,43,0.59,1,240,12,80,0.406421574,7.370802143,3.925282511,107
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9148,-77.00931,Entire home/apt,42,0.34,16,0,7,89,0.636964689,4.595558216,1.595079465,126
