@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute host_is_superhost {FALSE,TRUE}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {TRUE,FALSE}
@attribute host_identity_verified {TRUE,FALSE}
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {TRUE,FALSE}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {FALSE,TRUE}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
FALSE,1,4,TRUE,TRUE,'Private room',1,1,1,31,365,TRUE,0,1,31,306,81,5,0,4.63,4.72,4.43,4.9,4.83,3.86,4.62,FALSE,1,0,1,0,0.56,0.344814,2.701526,3.951265,67
FALSE,1,2,TRUE,TRUE,'Entire home/apt',3,2,2,31,1125,TRUE,30,60,90,180,37,4,0,4.54,4.72,4.19,4.97,4.97,4.89,4.39,FALSE,1,1,0,0,0.56,1.098645,4.872648,1.950389,298
TRUE,1,1,TRUE,TRUE,'Entire home/apt',8,4,5,3,1125,TRUE,18,44,73,73,25,11,0,4.96,5,4.96,5,5,5,4.88,TRUE,1,1,0,0,0.56,0.567013,4.697095,1.471926,399
FALSE,17,18,TRUE,FALSE,'Private room',2,1,1,31,1125,TRUE,25,55,85,360,24,2,0,4.67,4.67,4.46,5,4.88,4.79,4.38,TRUE,10,1,9,0,0.56,0.455135,5.26484,1.569898,49
FALSE,1,2,TRUE,FALSE,'Private room',2,1,2,31,1125,FALSE,0,0,0,0,23,0,0,4.68,4.82,4.41,4.73,4.82,4.64,4.64,FALSE,1,0,1,0,0.56,0.849319,4.969408,4.269929,50
FALSE,6,6,TRUE,TRUE,'Entire home/apt',12,4,6,3,1125,TRUE,3,24,43,118,20,6,0,4.45,4.6,4.55,4.7,4.7,3.75,4.55,TRUE,6,6,0,0,0.56,1.091139,3.725958,4.684042,199
FALSE,?,?,?,?,'Entire home/apt',2,1,1,31,731,TRUE,11,11,11,277,1,1,0,5,5,5,4,5,5,4,TRUE,157,157,0,0,0.56,0.321695,2.475402,2.386484,115
FALSE,1,2,TRUE,FALSE,'Private room',2,1,1,31,1125,TRUE,8,38,67,67,14,9,0,5,5,5,5,5,5,5,FALSE,1,0,1,0,0.56,0.513245,4.364996,0.5634,86
TRUE,2,5,TRUE,TRUE,'Entire home/apt',1,?,1,5,28,TRUE,4,34,64,331,7,6,1,5,4.86,4.86,5,5,4.86,5,FALSE,2,2,0,0,0.56,0.657457,7.523356,4.110941,80
FALSE,201,253,TRUE,TRUE,'Entire home/apt',2,1,1,31,365,TRUE,0,0,19,294,9,5,0,4.89,4.56,5,4.78,4.89,5,4.67,TRUE,156,150,5,0,0.56,0.413513,4.278798,0.482287,150
FALSE,43,45,TRUE,TRUE,'Private room',2,1,1,1,365,TRUE,30,60,90,179,1,1,0,5,5,5,5,5,5,5,TRUE,18,0,7,11,0.56,0.243358,5.295701,1.542237,85
FALSE,1,1,TRUE,TRUE,'Entire home/apt',2,1,2,31,90,TRUE,0,7,37,312,2,2,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.56,0.595995,8.273387,4.567934,62
