@relation 'dc_listings - full'

@attribute host_is_superhost {f,t}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {t,f}
@attribute host_identity_verified {t,f}
@attribute neighbourhood_cleansed {'Historic Anacostia','Brightwood Park, Crestwood, Petworth','Edgewood, Bloomingdale, Truxton Circle, Eckington','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Dupont Circle, Connecticut Avenue/K Street','Howard University, Le Droit Park, Cardozo/Shaw','Douglas, Shipley Terrace','Capitol Hill, Lincoln Park','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','Friendship Heights, American University Park, Tenleytown','Kalorama Heights, Adams Morgan, Lanier Heights','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','West End, Foggy Bottom, GWU','Brookland, Brentwood, Langdon','Cathedral Heights, McLean Gardens, Glover Park','Takoma, Brightwood, Manor Park','Union Station, Stanton Park, Kingman Park','Congress Heights, Bellevue, Washington Highlands','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Hawthorne, Barnaby Woods, Chevy Chase','Capitol View, Marshall Heights, Benning Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Mayfair, Hillbrook, Mahaning Heights','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Eastland Gardens, Kenilworth','River Terrace, Benning, Greenway, Dupont Park','Near Southeast, Navy Yard','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Sheridan, Barry Farm, Buena Vista','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Woodridge, Fort Lincoln, Gateway'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {t,f}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {f,t}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
f,1,4,t,t,'Historic Anacostia',38.86339,-76.98889,'Private room',1,1,1,31,365,t,0,1,31,306,81,5,0,4.63,4.72,4.43,4.9,4.83,3.86,4.62,f,1,0,1,0,0.56,0.018481,5.923237,2.197588,67
f,71,79,t,t,'Brightwood Park, Crestwood, Petworth',38.93719,-77.02335,'Private room',1,1,1,31,360,t,0,0,0,46,14,0,0,4.43,4.36,3.93,4.86,4.86,4.57,4.29,f,46,0,46,0,0.12,0.199774,3.439413,1.260161,39
t,4,4,t,t,'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91195,-77.00456,'Private room',3,1,2,1,1125,t,3,10,23,298,443,9,0,4.82,4.88,4.91,4.94,4.9,4.55,4.74,f,4,0,4,0,2.73,0.355152,2.776391,4.001165,75
t,4,10,t,t,'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89898,-77.01629,'Entire home/apt',2,1,1,31,1125,t,30,60,90,90,69,22,0,4.78,4.85,4.69,4.51,4.66,4.96,4.67,f,1,1,0,0,0.59,0.173617,3.870157,0.480999,250
f,4,8,t,t,'Dupont Circle, Connecticut Avenue/K Street',38.907833,-77.045673,'Private room',3,1,2,1,30,t,8,16,44,134,464,55,6,4.73,4.81,4.85,4.87,4.87,4.94,4.7,f,4,1,3,0,3.99,0.483799,4.70325,1.404426,113
f,71,79,t,t,'Howard University, Le Droit Park, Cardozo/Shaw',38.91785,-77.01498,'Private room',1,1,1,31,365,t,21,51,81,250,18,3,1,4.5,4.56,4.25,4.94,4.75,5,4.5,f,46,0,46,0,0.26,0.530569,3.166857,5.077822,35
f,9,14,t,t,'Douglas, Shipley Terrace',38.8491,-76.97982,'Private room',2,1,1,31,1125,t,0,0,24,299,22,3,0,4.82,4.82,4.82,4.86,4.77,4.1,4.71,f,4,0,4,0,0.24,0.346038,4.876364,1.186019,65
f,1,1,t,t,'Capitol Hill, Lincoln Park',38.88442,-77.00491,'Entire home/apt',3,1,1,31,120,t,0,0,0,0,18,0,0,4.83,4.83,4.78,5,5,4.94,4.94,f,1,1,0,0,0.18,0.046619,2.859714,2.34977,120
f,1,1,t,t,'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.95345,-76.99504,'Entire home/apt',3,1,2,1,1125,t,0,30,60,240,43,12,0,4.57,4.83,4.86,4.86,4.95,4.71,4.64,f,1,1,0,0,0.59,0.398621,5.710572,1.931401,107
t,2,2,t,f,'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.9356,-77.04468,'Entire home/apt',6,3,5,3,40,t,0,0,0,0,34,4,0,4.91,4.94,4.9,4.87,4.97,4.9,4.65,f,1,1,0,0,0.3,0.406422,7.370802,3.925283,350
f,1,3,t,f,'Friendship Heights, American University Park, Tenleytown',38.94492,-77.09234,'Entire home/apt',2,1,1,30,1125,t,0,0,0,270,54,2,0,4.64,4.79,4.85,4.87,4.83,4.78,4.63,f,1,1,0,0,0.46,0.636965,4.595558,1.595079,100
f,71,79,t,t,'Brightwood Park, Crestwood, Petworth',38.93788,-77.02313,'Private room',1,1,1,31,365,t,0,0,0,168,16,4,0,4.44,4.38,4,4.75,4.75,4.88,4.19,f,46,0,46,0,0.18,0.731959,5.774102,2.005113,39
f,71,79,t,t,'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93664,-77.02298,'Private room',1,1,1,31,800,t,13,43,73,348,14,2,0,4.42,4.25,3.83,5,5,5,4.25,f,46,0,46,0,0.13,0.917412,4.596019,2.76011,35
t,1,1,t,t,'Kalorama Heights, Adams Morgan, Lanier Heights',38.92238,-77.04709,'Private room',3,2,2,5,100,t,2,5,23,197,111,5,0,4.85,4.81,4.62,4.85,4.88,4.93,4.86,f,1,0,1,0,0.91,0.74735,7.065406,3.992094,90
t,1,1,t,t,'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.934628,-77.029839,'Entire home/apt',3,1,1,31,730,t,0,0,14,289,161,5,1,4.5,4.69,4.48,4.71,4.75,4.6,4.53,f,1,1,0,0,1.14,0.986853,4.712656,2.835706,99
t,16,24,t,t,'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.9148,-77.00931,'Entire home/apt',3,1,2,4,90,t,0,0,0,0,42,7,0,4.69,4.71,4.59,4.93,4.88,4.49,4.66,f,16,16,0,0,0.34,0.350104,4.508603,1.795924,126
f,5,5,t,t,'Ivy City, Arboretum, Trinidad, Carver Langston',38.90493,-76.98643,'Private room',1,1,1,1000,1000,t,13,25,37,269,10,0,0,4.89,4.4,4.9,4.9,4.7,4.1,4.5,f,3,0,3,0,0.07,0.03525,5.97202,2.246468,500
f,5,5,t,t,'Ivy City, Arboretum, Trinidad, Carver Langston',38.90618,-76.98498,'Private room',1,1,1,1125,1125,t,12,23,36,266,10,0,0,4.9,4.8,4.9,4.9,4.9,4.2,4.6,f,3,0,3,0,0.08,0.190028,3.371725,2.68519,500
t,2,2,t,t,'Capitol Hill, Lincoln Park',38.88719,-76.99472,'Private room',1,1,1,7,365,t,13,18,19,290,47,2,2,4.84,4.98,4.84,5,4.98,4.95,4.93,f,2,0,2,0,0.29,0.642162,4.82412,2.448916,70
t,4,5,t,t,'Howard University, Le Droit Park, Cardozo/Shaw',38.91433,-77.01876,'Private room',2,1,1,31,365,t,29,59,89,364,102,3,1,4.74,4.77,4.46,4.92,4.94,4.55,4.58,f,4,0,4,0,0.73,0.181818,4.416604,1.1059,88
t,1,1,t,t,'Kalorama Heights, Adams Morgan, Lanier Heights',38.91902,-77.04261,'Entire home/apt',4,2,2,4,1125,t,0,0,0,0,121,13,3,4.74,4.84,4.47,4.77,4.86,4.9,4.73,f,1,1,0,0,1.03,0.061331,5.888345,2.168887,129
f,7,10,t,t,'Shaw, Logan Circle',38.90746,-77.02716,'Entire home/apt',10,4,5,3,365,t,5,17,28,240,210,33,0,4.61,4.55,4.69,4.83,4.78,4.82,4.53,f,4,4,0,0,2.24,0.397322,4.631117,1.319173,429
f,5,5,t,t,'Ivy City, Arboretum, Trinidad, Carver Langston',38.91217,-76.99249,'Private room',1,1,1,1125,1125,t,0,0,1,254,31,0,0,4.74,4.68,4.89,4.93,4.93,4.21,4.64,f,3,0,3,0,0.21,0.664681,4.608967,0.823737,500
f,1,2,t,f,'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91223,-77.01067,'Private room',1,1,1,31,200,t,30,60,90,365,1,0,0,0,?,?,?,?,?,?,f,1,0,1,0,0.01,1.298226,6.983943,3.181794,350
t,4,5,t,t,'Howard University, Le Droit Park, Cardozo/Shaw',38.91702,-77.01617,'Private room',2,1,1,31,365,t,29,59,89,364,82,2,0,4.67,4.73,4.41,4.86,4.84,4.54,4.48,f,4,0,4,0,0.6,0.651068,4.625265,0.873137,75
