host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
FALSE,1,4,TRUE,TRUE,Historic Anacostia,38.86339,-76.98889,Private room,1,1,1,31,365,TRUE,0,1,31,306,81,5,0,4.63,4.72,4.43,4.9,4.83,3.86,4.62,FALSE,1,0,1,0,0.56,543,0.344814,2.701526,3.951265,67
FALSE,1,2,TRUE,TRUE,"Cathedral Heights, McLean Gardens, Glover Park",38.91794,-77.07094,Entire home/apt,3,2,2,31,1125,TRUE,30,60,90,180,37,4,0,4.54,4.72,4.19,4.97,4.97,4.89,4.39,FALSE,1,1,0,0,0.56,113,1.098645,4.872648,1.950389,298
TRUE,1,1,TRUE,TRUE,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91736,-77.01248,Entire home/apt,8,4,5,3,1125,TRUE,18,44,73,73,25,11,0,4.96,5,4.96,5,5,5,4.88,TRUE,1,1,0,0,0.56,105,0.567013,4.697095,1.471926,399
FALSE,17,18,TRUE,FALSE,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92767,-77.02397,Private room,2,1,1,31,1125,TRUE,25,55,85,360,24,2,0,4.67,4.67,4.46,5,4.88,4.79,4.38,TRUE,10,1,9,0,0.56,38,0.455135,5.26484,1.569898,49
FALSE,1,2,TRUE,FALSE,"River Terrace, Benning, Greenway, Dupont Park",38.8913,-76.95904,Private room,2,1,2,31,1125,FALSE,0,0,0,0,23,0,0,4.68,4.82,4.41,4.73,4.82,4.64,4.64,FALSE,1,0,1,0,0.56,46,0.849319,4.969408,4.269929,50
FALSE,6,6,TRUE,TRUE,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86371,-76.96904,Entire home/apt,12,4,6,3,1125,TRUE,3,24,43,118,20,6,0,4.45,4.6,4.55,4.7,4.7,3.75,4.55,TRUE,6,6,0,0,0.56,205,1.091139,3.725958,4.684042,199
FALSE,,,,,"Near Southeast, Navy Yard",38.88023,-77.00871,Entire home/apt,2,1,1,31,731,TRUE,11,11,11,277,1,1,0,5,5,5,4,5,5,4,TRUE,157,157,0,0,0.56,68,0.321695,2.475402,2.386484,115
FALSE,1,2,TRUE,FALSE,"Dupont Circle, Connecticut Avenue/K Street",38.91536,-77.03728,Private room,2,1,1,31,1125,TRUE,8,38,67,67,14,9,0,5,5,5,5,5,5,5,FALSE,1,0,1,0,0.56,478,0.513245,4.364996,0.5634,86
TRUE,2,5,TRUE,TRUE,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95492,-76.99046,Entire home/apt,1,,1,5,28,TRUE,4,34,64,331,7,6,1,5,4.86,4.86,5,5,4.86,5,FALSE,2,2,0,0,0.56,49,0.657457,7.523356,4.110941,80
FALSE,201,253,TRUE,TRUE,"Dupont Circle, Connecticut Avenue/K Street",38.91411,-77.03827,Entire home/apt,2,1,1,31,365,TRUE,0,0,19,294,9,5,0,4.89,4.56,5,4.78,4.89,5,4.67,TRUE,156,150,5,0,0.56,80,0.413513,4.278798,0.482287,150
