"","...1","...2","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license","days_since_last_review","...22","dist_from_subway_in_miles","dist_from_airport_in_miles"
"1",1,1,841260,"Metro Style Living in Washington DC",315148,"John",NA,"Brightwood Park, Crestwood, Petworth",38.93719,-77.02335,"Private room",39,31,14,"4/24/2021",0.12,46,46,0,NA,543,"10/19/2022",0.0184809562253068,5.9232371329498
"2",2,2,842418,"Luxury Penthouse in the heart of DC!",2236092,"Kristi",NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89898,-77.01629,"Entire home/apt",250,31,69,"6/28/2022",0.59,1,90,22,NA,113,NA,0.199773732762543,3.43941256810129
"3",3,3,3686,"Vita's Hideaway",4645,"Vita",NA,"Historic Anacostia",38.86339,-76.98889,"Private room",67,31,81,"7/6/2022",0.56,1,306,5,NA,105,NA,0.355151610827026,2.77639102524988
"4",4,4,860336,"Luxury Spacious Master Suite RoofDeck in DuPont",511136,"Tommy",NA,"Dupont Circle, Connecticut Avenue/K Street",38.907833,-77.04567311,"Private room",113,1,464,"9/11/2022",3.99,4,134,55,"Hosted License: 5007242201000569",38,NA,0.17361658483568,3.87015747557803
"5",5,5,860776,"Gorgeous cozy room available in the heart of DC",315148,"John",NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91785,-77.01498,"Private room",35,31,18,"9/3/2022",0.26,46,250,3,NA,46,NA,0.4837988807778,4.70325038879965
"6",6,6,861775,"Private BR Shared Bath Sunny TH - B",3517743,"Kanita",NA,"Douglas, Shipley Terrace",38.8491,-76.97982,"Private room",65,31,22,"3/28/2022",0.24,4,299,3,NA,205,NA,0.530569178775959,3.16685666727852
"7",7,7,62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY",301975,"Sarah (And JT)",NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,"Private room",90,5,111,"8/12/2022",0.91,1,197,5,"Hosted License: 5007242201000081",68,NA,0.346038371386131,4.87636417686567
"8",8,8,871825,"Prime location on Capitol Hill",4597024,"Rich And Betsy",NA,"Capitol Hill, Lincoln Park",38.88442,-77.00491,"Entire home/apt",120,31,18,"6/28/2021",0.18,1,0,0,NA,478,NA,0.0466186563936432,2.85971434786193
"9",9,9,67483,"Charming B & B in Columbia Heights",332901,"Chris And Shawanda",NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,"Entire home/apt",99,31,161,"8/31/2022",1.14,1,289,5,NA,49,NA,0.398620980090132,5.7105723845523
"10",10,10,873182,"Spacious English Basement Apt w/ Natural Sunlight!",4608059,"Joy",NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95345,-76.99504,"Entire home/apt",107,1,43,"7/31/2022",0.59,1,240,12,"Hosted License: 5007242201001457",80,NA,0.406421574039293,7.37080214327499
"11",11,11,78264,"Eccentric Eckington English Basement",96456433,"Jenna",NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9148,-77.00931,"Entire home/apt",126,4,42,"7/22/2022",0.34,16,0,7,"Hosted License: 5007242201000462
Unhosted License: 5007262201000463",89,NA,0.636964689241075,4.59555821580697
"12",12,12,883653,"Green Historic Mt. Pleasant House",1541121,"Asa & Andrea",NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9356,-77.04468,"Entire home/apt",350,3,34,"7/3/2022",0.3,1,0,4,"Unhosted License: 5007262201000253",108,NA,0.731959391544091,5.77410169944002
"13",13,13,79866,"DC, Near Metro III",7086,"Edward",NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90493,-76.98643,"Private room",500,1000,10,"8/27/2016",0.07,3,269,0,NA,2244,NA,0.91741226646292,4.5960191435909
"14",14,14,886283,"Tenleytown/AU Park Basement Apt.",4698675,"Katy",NA,"Friendship Heights, American University Park, Tenleytown",38.94492,-77.09234,"Entire home/apt",100,30,54,"7/31/2022",0.46,1,270,2,"Hosted License: 5007242201001442
Unhosted License: 5007262201001443",80,NA,0.747349934589584,7.06540612909571
