@relation 'nyc_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-4'

@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Hotel room',42,120,0.3,30,217,4,0.335092,5.195334,2.229509,308
'Private room',9,1488,0.11,9,356,0,0.406935,10.548947,7.809913,299
'Entire home/apt',13,1099,0.1,6,365,0,0.209048,5.322281,6.028016,425
'Private room',0,-1,0,1,83,0,0.172957,3.365225,4.811122,60
'Private room',135,127,0.95,1,219,4,0.252444,5.16989,3.615005,75
'Private room',207,94,1.49,1,132,9,0.207204,7.232718,2.400082,55
'Private room',65,86,0.45,3,319,9,0.050122,8.704966,5.399898,123
'Private room',23,199,0.17,5,249,2,0.105275,7.973623,5.410345,90
'Entire home/apt',49,147,0.31,3,280,1,0.069491,6.381393,0.306399,175
'Private room',50,1079,0.31,2,335,0,0.289744,7.776038,5.280162,60
'Entire home/apt',3,97,0.03,1,179,1,0.211325,9.729704,6.597639,275
'Hotel room',10,367,0.08,30,100,2,0.349582,5.195507,2.2454,529
'Private room',9,71,0.07,30,222,2,0.335092,5.195334,2.229509,372
'Entire home/apt',37,1001,0.35,2,37,0,0.250609,9.257462,5.796265,160
'Private room',2,4205,0.01,30,222,0,0.335092,5.195334,2.229509,372
'Entire home/apt',276,252,1.99,1,344,3,0.460913,6.986838,2.350446,169
'Private room',550,85,3.39,1,160,56,0.133239,6.099849,0.470842,68
'Entire home/apt',76,167,0.93,1,127,3,0.369307,7.520389,5.550155,150
'Private room',118,1943,0.75,1,0,0,0.03799,5.497696,3.309333,75
'Private room',216,84,1.33,3,299,22,0.188578,9.816028,6.210624,118
'Entire home/apt',185,131,1.14,1,274,4,0.169781,6.4336,3.786348,84
'Entire home/apt',223,88,1.55,3,276,30,0.08598,9.847918,6.137887,158
'Entire home/apt',253,120,1.82,1,311,3,0.111034,6.65263,6.096493,77
'Private room',0,-1,0,2,0,0,0.243336,4.398345,2.104276,130
'Hotel room',22,157,0.17,30,221,6,0.335092,5.195334,2.229509,308
'Entire home/apt',240,153,1.78,3,264,2,0.2333,7.951155,5.888189,138
'Entire home/apt',38,71,0.27,1,173,30,0.392264,1.855013,4.542257,140
'Entire home/apt',33,2747,0.23,6,365,0,0.675755,4.257389,6.535538,130
'Entire home/apt',6,2595,0.05,6,365,0,0.172388,5.219902,6.058846,193
'Entire home/apt',16,1194,0.12,6,365,0,0.808106,4.107408,6.534989,350
'Private room',1,163,0.32,2,211,1,0.175964,4.159448,3.785647,65
'Private room',239,76,1.53,1,278,5,0.194676,4.159198,2.916627,62
'Entire home/apt',136,92,0.99,2,300,29,0.325546,7.352378,5.714709,145
'Private room',11,91,0.07,2,24,2,0.287692,6.488428,3.462481,95
'Entire home/apt',303,71,1.97,2,19,36,0.319187,8.065901,4.659616,207
'Entire home/apt',38,87,2.12,1,73,27,0.351195,8.026782,6.014651,102
'Entire home/apt',9,3975,0.06,1,342,0,0.042459,6.160043,3.187032,395
'Entire home/apt',154,101,0.97,2,297,19,0.351267,7.328746,5.679123,150
'Private room',0,-1,0,1,365,0,0.135837,4.981832,3.420344,200
'Private room',135,83,0.93,3,328,27,0.133442,8.74757,5.481249,80
'Entire home/apt',137,77,0.99,1,298,20,0.159774,8.449298,6.055525,140
'Private room',62,1779,0.43,4,0,0,2.889312,2.341654,13.4389,65
'Entire home/apt',58,1920,0.37,1,0,0,0.26644,6.26455,0.640591,175
'Entire home/apt',7,103,0.07,1,0,1,0.23814,7.318334,4.797571,250
'Private room',98,976,0.98,1,191,0,0.195353,5.121675,4.162743,55
'Private room',6,1172,0.04,1,42,0,0.152975,5.056585,4.189521,75
'Private room',81,92,0.54,5,233,5,0.107674,7.965377,5.410695,82
'Private room',208,85,1.32,3,326,17,0.19686,9.925653,6.288924,118
'Private room',267,74,1.85,1,237,29,0.063659,4.104009,3.699276,115
'Private room',13,1071,0.1,2,364,0,0.133507,8.162939,5.134155,171
'Entire home/apt',20,86,0.15,1,54,9,0.050613,6.139552,3.636624,235
'Private room',0,-1,0,1,0,0,0.133337,10.04523,8.4354,150
'Entire home/apt',19,1618,0.14,1,280,0,0.202692,7.010269,0.783707,150
'Private room',282,78,1.8,2,33,17,0.334886,7.133826,2.419479,80
'Private room',335,81,2.25,1,86,37,0.023261,4.485019,2.28863,145
'Entire home/apt',114,91,0.83,1,49,7,0.132395,9.776776,6.115458,130
'Entire home/apt',73,164,0.47,1,1,1,0.11969,8.081987,5.682833,119
'Private room',94,177,0.85,2,22,1,0.149645,6.272952,3.774836,150
'Entire home/apt',35,533,0.26,1,303,0,0.027009,7.474782,1.484786,288
'Private room',40,74,0.28,1,0,3,0.01216,8.385971,4.928345,85
'Private room',239,91,1.67,2,27,26,0.255667,4.603336,4.346799,74
'Private room',169,87,1.13,3,253,15,0.055953,7.621741,5.878685,84
'Private room',38,491,0.28,1,0,0,0.217232,6.397479,3.639775,175
'Entire home/apt',148,93,0.95,1,121,36,0.248902,6.159319,4.625417,245
'Entire home/apt',179,821,1.15,1,98,0,0.292128,5.384772,2.250572,99
'Private room',60,167,0.4,2,332,2,0.242094,7.471715,5.224025,70
'Entire home/apt',104,79,0.72,1,302,40,0.370339,1.85677,4.450088,149
'Entire home/apt',145,138,1.33,1,364,6,0.351005,6.507099,3.184306,395
'Entire home/apt',269,99,1.88,1,4,26,0.240656,8.925632,4.709624,208
'Entire home/apt',122,132,0.89,1,0,7,0.190155,6.311061,0.494822,250
'Private room',382,79,2.47,2,283,48,0.282251,6.852055,0.54703,92
'Entire home/apt',32,163,0.29,1,257,6,0.07711,7.651386,2.567262,206
'Private room',9,1641,0.07,30,91,0,0.334402,5.194973,2.229077,728
'Entire home/apt',281,190,2.03,1,249,1,0.443923,7.947523,4.5421,375
'Private room',49,1012,0.33,1,190,0,0.422431,6.712684,3.377579,82
'Entire home/apt',5,1473,0.06,1,114,0,0.063462,7.055223,1.046123,400
'Entire home/apt',170,76,1.24,1,191,28,0.123924,6.690175,1.129059,330
'Entire home/apt',340,84,2.36,2,218,55,0.259273,4.267753,4.197475,160
'Private room',615,86,4.44,2,235,51,0.069394,5.072105,5.063539,60
'Private room',17,424,0.12,1,90,1,0.149603,4.156336,15.098755,114
'Private room',25,1003,0.21,1,0,0,0.251801,10.174084,6.823089,139
'Entire home/apt',58,157,0.41,1,342,1,0.096526,7.381622,2.659724,250
'Entire home/apt',2,1110,0.02,6,361,0,0.237224,5.342533,6.058517,211
'Entire home/apt',154,374,1.06,1,134,2,0.32705,8.527902,5.591003,175
