@relation 'nyc_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {Brooklyn,Queens,Bronx,Manhattan,'Staten Island'}
@attribute neighbourhood {Greenpoint,Kensington,Ridgewood,'Mott Haven','Morningside Heights','East Village','Prospect Heights',Bedford-Stuyvesant,Midtown,'Sunset Park','Park Slope','Upper West Side','South Slope',Williamsburg,Gowanus,Bushwick,'Upper East Side','Crown Heights','Ditmars Steinway','Middle Village','East Harlem','Fort Greene',Harlem,Jamaica,'Hells Kitchen','Clinton Hill',Flatbush,Chelsea,'Long Island City','Brooklyn Heights','Lower East Side','Flatiron District','Rockaway Beach','Windsor Terrace',Chi0town,Tribeca,'Washington Heights','Greenwich Village','Fi0ncial District','Kips Bay','Clason Point',Eastchester,'Carroll Gardens','West Village',Nolita,'Forest Hills','Murray Hill','East Flatbush','Boerum Hill',Astoria,Sunnyside,'St. George',Gravesend,Kingsbridge,Gramercy,Allerton,'University Heights','Richmond Hill','East New York','Little Italy','Prospect-Lefferts Gardens',Arrochar,SoHo,'Stuyvesant Town',Elmhurst,'Theater District','Sheepshead Bay','Rego Park','Emerson Hill',Bayside,Bensonhurst,Woodside,'Shore Acres','Spuyten Duyvil',Briarwood,'Battery Park City',Maspeth,'Brighton Beach','Two Bridges','Fort Hamilton','Cobble Hill','Jackson Heights','New Springville',Longwood,Inwood,NoHo,Flushing,DUMBO,'Columbia St',Tottenville,'Cypress Hills','Mariners Harbor','East Elmhurst','Kew Gardens','Downtown Brooklyn',Concord,Melrose,'College Point','City Island','Bay Ridge','Red Hook','Vinegar Hill',Glendale,Concourse,'Port Morris',Flatlands,Arverne,Ca0rsie,'Queens Village',Williamsbridge,Soundview,Woodhaven,Parkchester,Bronxdale,'Ozone Park','Bay Terrace',Fordham,Norwood,Clifton,'Claremont Village','Concourse Village','Borough Park',Fieldston,Huguenot,'Mount Hope','Howard Beach',Wakefield,Midwood,'0vy Yard',Brownsville,'Civic Center','Lighthouse Hill','Roosevelt Island','South Ozone Park',Unionport,'Randall Manor','Jamaica Estates','Kew Gardens Hills',Bellerose,'Fresh Meadows','Morris Park','East Morrisania','Springfield Gardens',Tremont,'Far Rockaway','St. Albans',Coro0,'West Brighton','Manhattan Beach','Marble Hill','Dongan Hills',Belmont,'Castleton Corners',Laurelton,'Hunts Point','Great Kills','Pelham Bay','Silver Lake',Riverdale,Morrisania,'Grymes Hill',Holliswood,Tompkinsville,'Morris Heights',Edgemere,'New Brighton','Pelham Gardens',Baychester,'Mill Basin','Sea Gate','Bergen Beach',Stapleton,'Cambria Heights',Richmondtown,'Dyker Heights',Olinville,'Throgs Neck','Coney Island',Rosedale,'Howland Hook',Highbridge,'South Beach','Bath Beach','Midland Beach',Oakwood,Eltingville,Hollis,Schuylerville,Edenwald,'North Riverdale','Mount Eden',Neponsit,'Fort Wadsworth','Westchester Square','Van Nest',Rosebank,Woodlawn,'Grant City','New Dorp','Port Richmond','Country Club',Bayswater,Willowbrook,Douglaston,'New Dorp Beach','Todt Hill','West Farms','Little Neck',Whitestone,'Arden Heights','Co-op City','Jamaica Hills','Princes Bay','Bulls Head','Castle Hill','Belle Harbor',Westerleigh,'Chelsea, Staten Island','Gerritsen Beach','Breezy Point',Graniteville,Woodrow,'Hollis Hills','Port Ivory','Rockaway Park','Freshkills Park','Floral Park','Ellis Island',Bloomfield,'Ferry Point Park','Park Hill','Pelham Islands','Broad Channel','Pelham Bay Park','Van Cortlandt Park','LaGuardia Airport','Marine Park','Flushing Meadows Coro0 Park','Forest Park','Bronx Park','Croto0 Park','Green-Wood Cemetery','Prospect Park','Central Park'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
Brooklyn,Greenpoint,40.73777,-73.95366,'Hotel room',42,120,0.3,30,217,4,0.335092,5.195334,2.229509,308
Brooklyn,Kensington,40.64529,-73.97238,'Private room',9,1488,0.11,9,356,0,0.406935,10.548947,7.809913,299
Queens,Ridgewood,40.70309,-73.89963,'Entire home/apt',13,1099,0.1,6,365,0,0.209048,5.322281,6.028016,425
Bronx,'Mott Haven',40.80635,-73.92201,'Private room',0,-1,0,1,83,0,0.172957,3.365225,4.811122,60
Manhattan,'Morningside Heights',40.8063,-73.95985,'Private room',135,127,0.95,1,219,4,0.252444,5.16989,3.615005,75
Manhattan,'East Village',40.72322,-73.98615,'Private room',207,94,1.49,1,132,9,0.207204,7.232718,2.400082,55
Brooklyn,'Prospect Heights',40.68022,-73.97457,'Private room',65,86,0.45,3,319,9,0.050122,8.704966,5.399898,123
Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,'Private room',23,199,0.17,5,249,2,0.105275,7.973623,5.410345,90
Manhattan,Midtown,40.75356,-73.98559,'Entire home/apt',49,147,0.31,3,280,1,0.069491,6.381393,0.306399,175
Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,'Private room',50,1079,0.31,2,335,0,0.289744,7.776038,5.280162,60
Brooklyn,'Sunset Park',40.66265,-73.99454,'Entire home/apt',3,97,0.03,1,179,1,0.211325,9.729704,6.597639,275
Brooklyn,Greenpoint,40.73756,-73.9535,'Hotel room',10,367,0.08,30,100,2,0.349582,5.195507,2.2454,529
Brooklyn,Greenpoint,40.73777,-73.95366,'Private room',9,71,0.07,30,222,2,0.335092,5.195334,2.229509,372
Brooklyn,'Park Slope',40.67407,-73.98105,'Entire home/apt',37,1001,0.35,2,37,0,0.250609,9.257462,5.796265,160
Brooklyn,Greenpoint,40.73777,-73.95366,'Private room',2,4205,0.01,30,222,0,0.335092,5.195334,2.229509,372
Manhattan,'East Village',40.72408,-73.98154,'Entire home/apt',276,252,1.99,1,344,3,0.460913,6.986838,2.350446,169
Manhattan,Midtown,40.76457,-73.98317,'Private room',550,85,3.39,1,160,56,0.133239,6.099849,0.470842,68
Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,'Entire home/apt',76,167,0.93,1,127,3,0.369307,7.520389,5.550155,150
Manhattan,'Upper West Side',40.8038,-73.96751,'Private room',118,1943,0.75,1,0,0,0.03799,5.497696,3.309333,75
Brooklyn,'South Slope',40.66801,-73.98784,'Private room',216,84,1.33,3,299,22,0.188578,9.816028,6.210624,118
Brooklyn,Williamsburg,40.70935,-73.95342,'Entire home/apt',185,131,1.14,1,274,4,0.169781,6.4336,3.786348,84
Brooklyn,Gowanus,40.66913,-73.99041,'Entire home/apt',223,88,1.55,3,276,30,0.08598,9.847918,6.137887,158
Brooklyn,Bushwick,40.68769,-73.91788,'Entire home/apt',253,120,1.82,1,311,3,0.111034,6.65263,6.096493,77
Manhattan,'Upper East Side',40.77449,-73.95308,'Private room',0,-1,0,2,0,0,0.243336,4.398345,2.104276,130
Brooklyn,Greenpoint,40.73777,-73.95366,'Hotel room',22,157,0.17,30,221,6,0.335092,5.195334,2.229509,308
Brooklyn,'Crown Heights',40.67823,-73.94719,'Entire home/apt',240,153,1.78,3,264,2,0.2333,7.951155,5.888189,138
Queens,'Ditmars Steinway',40.77868,-73.90652,'Entire home/apt',38,71,0.27,1,173,30,0.392264,1.855013,4.542257,140
Queens,'Middle Village',40.71567,-73.87842,'Entire home/apt',33,2747,0.23,6,365,0,0.675755,4.257389,6.535538,130
Queens,Ridgewood,40.70422,-73.89778,'Entire home/apt',6,2595,0.05,6,365,0,0.172388,5.219902,6.058846,193
Queens,'Middle Village',40.71778,-73.87714,'Entire home/apt',16,1194,0.12,6,365,0,0.808106,4.107408,6.534989,350
Manhattan,'East Harlem',40.80107,-73.94255,'Private room',1,163,0.32,2,211,1,0.175964,4.159448,3.785647,65
Manhattan,'East Harlem',40.78778,-73.94759,'Private room',239,76,1.53,1,278,5,0.194676,4.159198,2.916627,62
