@relation 'nyc_listings - full-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R6-8'

@attribute host_is_superhost {f,t}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {t,f}
@attribute host_identity_verified {t,f}
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {t,f}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {f,t}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
f,9,12,t,t,'Private room',2,1,1,30,730,t,21,51,81,356,9,0,0,4.89,4.88,5,5,5,4.75,4.88,f,9,1,6,2,0.11,0.406935,10.548947,7.809913,299
f,6,9,t,t,'Entire home/apt',1,?,1,30,1125,t,0,0,5,280,49,1,0,4.68,4.73,4.63,4.77,4.8,4.81,4.4,f,3,3,0,0,0.31,0.069491,6.381393,0.306399,175
t,2,2,t,t,'Private room',2,1,1,30,730,t,5,30,60,335,50,0,0,4.52,4.22,4.09,4.91,4.91,4.47,4.52,f,2,0,2,0,0.31,0.289744,7.776038,5.280162,60
f,7,7,t,t,'Entire home/apt',16,5,10,30,730,t,30,60,90,365,13,0,0,4.42,4.64,4.36,4.82,5,4.82,4.55,f,6,6,0,0,0.1,0.209048,5.322281,6.028016,425
f,1,5,t,t,'Entire home/apt',4,2,2,21,1125,t,0,0,0,179,3,1,1,5,5,5,5,5,4.67,5,f,1,1,0,0,0.03,0.211325,9.729704,6.597639,275
f,1,2,t,f,'Private room',1,1,1,30,40,t,23,53,83,83,0,0,0,?,?,?,?,?,?,?,t,1,0,1,0,?,0.172957,3.365225,4.811122,60
t,30,40,t,t,'Hotel room',2,1,1,2,365,t,15,42,72,217,42,4,0,4.9,4.98,4.95,4.98,4.88,4.46,4.78,f,30,16,10,0,0.3,0.335092,5.195334,2.229509,308
f,1,1,t,f,'Private room',2,1,1,2,14,t,2,4,7,160,550,56,2,4.23,4.24,3.75,4.66,4.46,4.88,4.4,f,1,0,1,0,3.39,0.133239,6.099849,0.470842,68
f,1,1,t,t,'Private room',2,1,2,2,60,t,0,0,0,132,207,9,1,4.34,4.44,3.88,4.84,4.76,4.82,4.45,f,1,0,1,0,1.49,0.207204,7.232718,2.400082,55
t,30,40,t,t,'Hotel room',4,1,2,2,365,t,25,55,85,100,10,2,0,5,5,5,5,4.89,4.78,4.56,f,30,16,10,0,0.08,0.349582,5.195507,2.2454,529
