id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,
560227,Mission Bay Luxury Home - Views to Ocean & Bay,57109,William,,Mission Bay,32.7873,-117.25408,Entire home/apt,599,5,2,11/24/2012,0.02,2,243,0,,3616,
870904,Adorable Mission Beach Getaway,1457673,Kit,,Mission Bay,32.76599,-117.25145,Entire home/apt,130,31,1,8/9/2013,0.01,13,270,0,,3358,
1200632,Jewel Above La Jolla Shores - 4 Bed 4.5 Bath Heated Pool Ocean View,6558055,Sarah,,La Jolla,32.84941,-117.24859,Entire home/apt,3300,1,1,12/1/2013,0.01,19,364,0,,3244,
3647778,Private Room 1.5 blocks from beach,18435665,Patrick,,Ocean Beach,32.74168,-117.25135,Private room,144,2,1,7/27/2014,0.01,1,274,0,,3006,
203528,OLD TOWN CHARMER GUEST ROOM,975389,Irene,,Old Town,32.75033,-117.19283,Private room,125,3,2,7/28/2014,0.02,2,208,0,,3005,
4224169,Ocean front Pacific Beach Ca,21920187,Willcoxson,,Pacific Beach,32.79715,-117.25606,Entire home/apt,125,30,1,3/1/2015,0.01,1,365,0,,2789,
5136416,House in One of San Diego's best neighborhoods,4506228,Ahmed,,West University Heights,32.7557,-117.14978,Entire home/apt,400,3,2,3/30/2015,0.02,1,0,0,,2760,
3676343,Not Available,18670318,Karina,,Mission Bay,32.79098,-117.24163,Private room,200,2,11,4/20/2015,0.11,1,88,0,,2739,
606508,"condos in San Diego, CA",103427,Jacqueline M,,Core,32.71816,-117.15442,Entire home/apt,282,2,1,6/10/2015,0.01,5,365,0,,2688,
1573662,House Overlooking Harbor Near Downtown!,2908076,Danny,,Midtown,32.74461,-117.17871,Entire home/apt,900,30,3,7/13/2015,0.03,1,0,0,,2655,
6707650,single room avaliable(guest room),22223682,Zoey,,University City,32.86367,-117.22269,Private room,230,300,6,8/2/2015,0.07,1,365,0,,2635,
4058301,Cozy home!  Middle of the action!,21047879,Peggy,,Normal Heights,32.75976,-117.11556,Private room,175,4,12,9/8/2015,0.13,1,364,0,,2598,
8421868,"Gorgeous, Peaceful Cottage",44354870,Ruth Ann,,East Village,32.690781,-117.171654,Entire home/apt,275,28,2,10/22/2015,0.02,1,63,0,,2554,
1880748,David & Kiera's Place,9791752,David,,East Village,32.70879,-117.15637,Entire home/apt,141,30,2,11/21/2015,0.02,1,326,0,,2524,
8104792,2 Ocean Front Homes ☆ Penthouse+Ground Floor ☆ A/C,3017970,Surf Style,,Mission Bay,32.77611,-117.25307,Entire home/apt,1190,3,1,11/29/2015,0.01,131,160,0,,2516,
